"measuring","weather station","month","time","Air temperature"
"Average","Nanortalik","January","1993",-9.3
"Average","Nanortalik","January","1994",-4.3
"Average","Nanortalik","January","1995",-5.0
"Average","Nanortalik","January","1996",-2.8
"Average","Nanortalik","January","1997",-0.9
"Average","Nanortalik","January","1998",-1.2
"Average","Nanortalik","January","1999",-4.8
"Average","Nanortalik","January","2000",-4.6
"Average","Nanortalik","January","2001",-4.6
"Average","Nanortalik","January","2002",...
"Average","Nanortalik","January","2003",1.0
"Average","Nanortalik","January","2004",1.8
"Average","Nanortalik","January","2005",-2.0
"Average","Nanortalik","January","2006",-2.5
"Average","Nanortalik","January","2007",-1.6
"Average","Nanortalik","January","2008",-6.4
"Average","Nanortalik","January","2009",-1.6
"Average","Nanortalik","January","2010",0.1
"Average","Nanortalik","January","2011",-0.8
"Average","Nanortalik","January","2012",-3.6
"Average","Nanortalik","January","2013",-2.0
"Average","Nanortalik","January","2014",-2.8
"Average","Nanortalik","January","2015",-4.9
"Average","Nanortalik","January","2016",-2.0
"Average","Nanortalik","January","2017",-2.6
"Average","Nanortalik","January","2018",-3.9
"Average","Nanortalik","January","2019",-1.3
"Average","Nanortalik","January","2020",-5.0
"Average","Nanortalik","January","2021",-0.8
"Average","Nanortalik","February","1993",-6.4
"Average","Nanortalik","February","1994",-4.8
"Average","Nanortalik","February","1995",-5.2
"Average","Nanortalik","February","1996",-2.5
"Average","Nanortalik","February","1997",-6.3
"Average","Nanortalik","February","1998",-5.8
"Average","Nanortalik","February","1999",-4.4
"Average","Nanortalik","February","2000",-8.7
"Average","Nanortalik","February","2001",-4.2
"Average","Nanortalik","February","2002",...
"Average","Nanortalik","February","2003",-3.0
"Average","Nanortalik","February","2004",1.0
"Average","Nanortalik","February","2005",2.9
"Average","Nanortalik","February","2006",1.2
"Average","Nanortalik","February","2007",0.4
"Average","Nanortalik","February","2008",-5.7
"Average","Nanortalik","February","2009",-0.7
"Average","Nanortalik","February","2010",1.1
"Average","Nanortalik","February","2011",-3.0
"Average","Nanortalik","February","2012",-2.4
"Average","Nanortalik","February","2013",-2.0
"Average","Nanortalik","February","2014",-3.6
"Average","Nanortalik","February","2015",-4.8
"Average","Nanortalik","February","2016",-2.3
"Average","Nanortalik","February","2017",-3.2
"Average","Nanortalik","February","2018",-7.6
"Average","Nanortalik","February","2019",-2.0
"Average","Nanortalik","February","2020",-4.8
"Average","Nanortalik","February","2021",-2.5
"Average","Nanortalik","March","1993",-7.4
"Average","Nanortalik","March","1994",-5.5
"Average","Nanortalik","March","1995",-7.2
"Average","Nanortalik","March","1996",-0.4
"Average","Nanortalik","March","1997",...
"Average","Nanortalik","March","1998",-2.6
"Average","Nanortalik","March","1999",...
"Average","Nanortalik","March","2000",-6.6
"Average","Nanortalik","March","2001",-1.4
"Average","Nanortalik","March","2002",...
"Average","Nanortalik","March","2003",-0.8
"Average","Nanortalik","March","2004",-1.0
"Average","Nanortalik","March","2005",3.4
"Average","Nanortalik","March","2006",2.7
"Average","Nanortalik","March","2007",-2.9
"Average","Nanortalik","March","2008",-2.7
"Average","Nanortalik","March","2009",-2.5
"Average","Nanortalik","March","2010",-1.0
"Average","Nanortalik","March","2011",-2.6
"Average","Nanortalik","March","2012",-3.8
"Average","Nanortalik","March","2013",0.4
"Average","Nanortalik","March","2014",-3.2
"Average","Nanortalik","March","2015",-5.4
"Average","Nanortalik","March","2016",-1.6
"Average","Nanortalik","March","2017",-2.2
"Average","Nanortalik","March","2018",...
"Average","Nanortalik","March","2019",-2.4
"Average","Nanortalik","March","2020",-2.9
"Average","Nanortalik","March","2021",-2.0
"Average","Nanortalik","April","1993",-1.2
"Average","Nanortalik","April","1994",-0.2
"Average","Nanortalik","April","1995",1.7
"Average","Nanortalik","April","1996",2.5
"Average","Nanortalik","April","1997",4.4
"Average","Nanortalik","April","1998",3.8
"Average","Nanortalik","April","1999",...
"Average","Nanortalik","April","2000",-0.4
"Average","Nanortalik","April","2001",0.9
"Average","Nanortalik","April","2002",...
"Average","Nanortalik","April","2003",0.6
"Average","Nanortalik","April","2004",...
"Average","Nanortalik","April","2005",4.7
"Average","Nanortalik","April","2006",2.2
"Average","Nanortalik","April","2007",1.3
"Average","Nanortalik","April","2008",2.3
"Average","Nanortalik","April","2009",1.5
"Average","Nanortalik","April","2010",0.9
"Average","Nanortalik","April","2011",-2.8
"Average","Nanortalik","April","2012",2.2
"Average","Nanortalik","April","2013",0.9
"Average","Nanortalik","April","2014",-1.1
"Average","Nanortalik","April","2015",-0.8
"Average","Nanortalik","April","2016",2.6
"Average","Nanortalik","April","2017",-1.5
"Average","Nanortalik","April","2018",...
"Average","Nanortalik","April","2019",1.4
"Average","Nanortalik","April","2020",2.0
"Average","Nanortalik","April","2021",1.1
"Average","Nanortalik","May","1993",2.4
"Average","Nanortalik","May","1994",3.7
"Average","Nanortalik","May","1995",3.0
"Average","Nanortalik","May","1996",4.9
"Average","Nanortalik","May","1997",4.0
"Average","Nanortalik","May","1998",4.7
"Average","Nanortalik","May","1999",...
"Average","Nanortalik","May","2000",0.8
"Average","Nanortalik","May","2001",2.5
"Average","Nanortalik","May","2002",...
"Average","Nanortalik","May","2003",4.9
"Average","Nanortalik","May","2004",6.6
"Average","Nanortalik","May","2005",7.1
"Average","Nanortalik","May","2006",6.2
"Average","Nanortalik","May","2007",3.5
"Average","Nanortalik","May","2008",4.6
"Average","Nanortalik","May","2009",2.4
"Average","Nanortalik","May","2010",6.2
"Average","Nanortalik","May","2011",2.0
"Average","Nanortalik","May","2012",3.7
"Average","Nanortalik","May","2013",2.0
"Average","Nanortalik","May","2014",3.5
"Average","Nanortalik","May","2015",2.0
"Average","Nanortalik","May","2016",3.6
"Average","Nanortalik","May","2017",...
"Average","Nanortalik","May","2018",...
"Average","Nanortalik","May","2019",4.9
"Average","Nanortalik","May","2020",4.8
"Average","Nanortalik","May","2021",3.6
"Average","Nanortalik","June","1993",5.7
"Average","Nanortalik","June","1994",...
"Average","Nanortalik","June","1995",5.5
"Average","Nanortalik","June","1996",5.6
"Average","Nanortalik","June","1997",7.1
"Average","Nanortalik","June","1998",5.8
"Average","Nanortalik","June","1999",...
"Average","Nanortalik","June","2000",4.8
"Average","Nanortalik","June","2001",5.6
"Average","Nanortalik","June","2002",...
"Average","Nanortalik","June","2003",7.3
"Average","Nanortalik","June","2004",8.3
"Average","Nanortalik","June","2005",9.1
"Average","Nanortalik","June","2006",5.3
"Average","Nanortalik","June","2007",5.2
"Average","Nanortalik","June","2008",5.5
"Average","Nanortalik","June","2009",5.1
"Average","Nanortalik","June","2010",6.0
"Average","Nanortalik","June","2011",4.5
"Average","Nanortalik","June","2012",5.1
"Average","Nanortalik","June","2013",4.8
"Average","Nanortalik","June","2014",5.2
"Average","Nanortalik","June","2015",4.2
"Average","Nanortalik","June","2016",6.2
"Average","Nanortalik","June","2017",...
"Average","Nanortalik","June","2018",...
"Average","Nanortalik","June","2019",5.7
"Average","Nanortalik","June","2020",5.0
"Average","Nanortalik","June","2021",4.7
"Average","Nanortalik","July","1993",5.9
"Average","Nanortalik","July","1994",...
"Average","Nanortalik","July","1995",6.2
"Average","Nanortalik","July","1996",6.9
"Average","Nanortalik","July","1997",8.5
"Average","Nanortalik","July","1998",7.7
"Average","Nanortalik","July","1999",5.7
"Average","Nanortalik","July","2000",5.8
"Average","Nanortalik","July","2001",5.1
"Average","Nanortalik","July","2002",...
"Average","Nanortalik","July","2003",8.5
"Average","Nanortalik","July","2004",8.5
"Average","Nanortalik","July","2005",11.3
"Average","Nanortalik","July","2006",6.1
"Average","Nanortalik","July","2007",7.4
"Average","Nanortalik","July","2008",7.7
"Average","Nanortalik","July","2009",6.0
"Average","Nanortalik","July","2010",6.2
"Average","Nanortalik","July","2011",7.3
"Average","Nanortalik","July","2012",8.9
"Average","Nanortalik","July","2013",5.8
"Average","Nanortalik","July","2014",6.7
"Average","Nanortalik","July","2015",5.9
"Average","Nanortalik","July","2016",7.7
"Average","Nanortalik","July","2017",6.4
"Average","Nanortalik","July","2018",...
"Average","Nanortalik","July","2019",...
"Average","Nanortalik","July","2020",7.0
"Average","Nanortalik","July","2021",6.8
"Average","Nanortalik","August","1993",7.2
"Average","Nanortalik","August","1994",...
"Average","Nanortalik","August","1995",6.9
"Average","Nanortalik","August","1996",6.8
"Average","Nanortalik","August","1997",7.4
